time,date,daily cases,Id
1,1/24/2020,1,1
2,1/25/2020,,1
3,1/26/2020,,1
4,1/27/2020,,1
5,1/28/2020,1,2
6,1/29/2020,,2
7,1/30/2020,,2
8,1/31/2020,,2
9,2/1/2020,,1
10,2/2/2020,,1
11,2/3/2020,,1
12,2/4/2020,,1
13,2/5/2020,,0
14,2/6/2020,1,1
15,2/7/2020,,1
16,2/8/2020,,1
17,2/9/2020,,1
18,2/10/2020,,1
19,2/11/2020,,1
20,2/12/2020,,1
21,2/13/2020,,1
22,2/14/2020,1,1
23,2/15/2020,1,2
24,2/16/2020,,2
25,2/17/2020,,2
26,2/18/2020,1,3
27,2/19/2020,1,4
28,2/20/2020,4,8
29,2/21/2020,,8
30,2/22/2020,,7
31,2/23/2020,2,8
32,2/24/2020,2,10
33,2/25/2020,1,11
34,2/26/2020,1,11
35,2/27/2020,3,13
36,2/28/2020,5,14
37,2/29/2020,3,17
38,3/1/2020,21,38
39,3/2/2020,14,50
40,3/3/2020,21,69
41,3/4/2020,26,94
42,3/5/2020,18,111
43,3/6/2020,38,146
44,3/7/2020,33,174
45,3/8/2020,57,228
46,3/9/2020,106,313
47,3/10/2020,111,410
48,3/11/2020,98,487
49,3/12/2020,110,571
50,3/13/2020,128,681
51,3/14/2020,123,766
52,3/15/2020,142,875
53,3/16/2020,192,1010
54,3/17/2020,189,1093
55,3/18/2020,254,1236
56,3/19/2020,246,1384
57,3/20/2020,261,1535
58,3/21/2020,230,1637
59,3/22/2020,279,1793
60,3/23/2020,272,1923
61,3/24/2020,346,2077
62,3/25/2020,380,2268
63,3/26/2020,377,2391
64,3/27/2020,20,2165
65,3/28/2020,18,1922
66,3/29/2020,18,1710
67,3/30/2020,16,1447
68,3/31/2020,4,1179
