time,date,cases,hosp,hosp1,hosp2,hosp4,hosp3,Id,date,Ihtcdphe,Ihtcensus,Ihtcombine
1,1/24/2020,.,.,.,.,.,.,,1/24/2020,,,
2,1/25/2020,.,.,.,.,.,.,,1/25/2020,,,
3,1/26/2020,.,.,.,.,.,.,,1/26/2020,,,
4,1/27/2020,.,.,.,.,.,.,,1/27/2020,,,
5,1/28/2020,.,.,.,.,.,.,,1/28/2020,,,
6,1/29/2020,.,.,.,.,.,.,,1/29/2020,,,
7,1/30/2020,.,.,.,.,.,.,,1/30/2020,,,
8,1/31/2020,.,.,.,.,.,.,0,1/31/2020,,,
9,2/1/2020,2,.,.,.,.,.,2,2/1/2020,,,
10,2/2/2020,.,.,.,.,.,.,2,2/2/2020,,,
11,2/3/2020,1,.,.,.,.,.,3,2/3/2020,,,
12,2/4/2020,1,.,.,.,.,.,4,2/4/2020,,,
13,2/5/2020,1,.,.,.,.,.,5,2/5/2020,,,
14,2/6/2020,1,.,.,.,.,.,6,2/6/2020,,,
15,2/7/2020,.,.,.,.,.,.,6,2/7/2020,,,
16,2/8/2020,2,.,.,.,.,.,8,2/8/2020,,,
17,2/9/2020,1,.,.,.,.,.,7,2/9/2020,,,
18,2/10/2020,2,.,.,.,.,.,9,2/10/2020,,,
19,2/11/2020,.,.,.,.,.,.,8,2/11/2020,,,
20,2/12/2020,.,.,.,.,.,.,7,2/12/2020,,,
21,2/13/2020,2,.,.,.,.,.,8,2/13/2020,,,
22,2/14/2020,1,.,.,.,.,.,8,2/14/2020,,,
23,2/15/2020,6,.,.,.,.,.,14,2/15/2020,,,
24,2/16/2020,.,.,.,.,.,.,12,2/16/2020,,,
25,2/17/2020,2,.,.,.,.,.,13,2/17/2020,,,
26,2/18/2020,1,.,.,.,.,.,12,2/18/2020,,,
27,2/19/2020,2,.,.,.,.,.,14,2/19/2020,,,
28,2/20/2020,5,.,.,.,.,.,19,2/20/2020,,,
29,2/21/2020,1,.,.,.,.,.,18,2/21/2020,,,
30,2/22/2020,2,.,.,.,.,.,19,2/22/2020,,,
31,2/23/2020,4,.,.,.,.,.,17,2/23/2020,,,
32,2/24/2020,6,.,.,.,.,.,23,2/24/2020,,,
33,2/25/2020,4,.,.,.,.,.,25,2/25/2020,,,
34,2/26/2020,5,.,.,.,.,.,29,2/26/2020,,,
35,2/27/2020,9,.,.,.,.,.,36,2/27/2020,,,
36,2/28/2020,8,.,.,.,.,.,39,2/28/2020,,,
37,2/29/2020,10,.,.,.,.,.,48,2/29/2020,,,
38,3/1/2020,39,1,.,.,1,.,85,3/1/2020,1,,1
39,3/2/2020,23,1,.,.,.,1,104,3/2/2020,2,,2
40,3/3/2020,32,.,.,.,.,.,130,3/3/2020,2,,2
41,3/4/2020,42,1,.,1,.,.,168,3/4/2020,3,,3
42,3/5/2020,37,.,.,.,.,.,200,3/5/2020,3,,3
43,3/6/2020,56,.,.,.,.,.,247,3/6/2020,3,,3
44,3/7/2020,52,2,.,1,.,1,291,3/7/2020,5,,5
45,3/8/2020,101,1,.,.,.,1,382,3/8/2020,6,,6
46,3/9/2020,161,3,.,.,1,2,504,3/9/2020,8,,8
47,3/10/2020,155,6,.,1,2,3,636,3/10/2020,13,,13
48,3/11/2020,164,8,.,1,4,3,768,3/11/2020,21,,21
49,3/12/2020,164,11,.,.,5,6,890,3/12/2020,31,,31
50,3/13/2020,238,20,.,1,8,11,1091,3/13/2020,51,,51
51,3/14/2020,193,17,.,2,12,3,1228,3/14/2020,68,,68
52,3/15/2020,258,23,.,2,15,6,1434,3/15/2020,89,,89
53,3/16/2020,293,40,.,2,17,21,1626,3/16/2020,128,,128
54,3/17/2020,295,38,.,7,15,16,1760,3/17/2020,163,,163
