scenalpha,scenario,mag,mag1,mag2,mag3,mag4,beta,lambda,siI,Cp,t1,t2,t3,t4,t5,t6,pS,pS2,pS3,pID,hosp,cc,hosp2,cc2,hosp3,cc3,maska
1A,1,0.45,0.45,0.45,0.45,0.45,0.4133,2.2679,0.3787,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
1B,2,0.45,0.5,0.5,0.5,0.5,0.4133,2.2679,0.3787,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
1C,3,0.45,0.6,0.6,0.6,0.6,0.4133,2.2679,0.3787,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
1D,4,0.45,0.7,0.7,0.7,0.7,0.4133,2.2679,0.3787,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
1E,5,0.45,0.8,0.8,0.8,0.8,0.4133,2.2679,0.3787,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2A,6,0.65,0.765,0.765,0.765,0.765,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2B,7,0.65,0.765,0.7,0.7,0.7,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2C,8,0.65,0.765,0.65,0.65,0.65,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2D,9,0.65,0.765,0.6,0.6,0.6,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2E,10,0.65,0.765,0.55,0.55,0.55,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
2F,11,0.65,0.765,0.5,0.5,0.5,0.5,1.5,0.47,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.005803406,0.00029017,0.059161513,0.004524929,0.206831456,0.080833719,0
3A,12,0.52,0.8,0.8,0.8,0.8,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
3B,13,0.52,0.8,0.8,0.7,0.7,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
3C,14,0.52,0.8,0.8,0.65,0.65,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
3D,15,0.52,0.8,0.8,0.6,0.6,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
3E,16,0.52,0.8,0.8,0.55,0.55,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
3F,17,0.52,0.8,0.8,0.5,0.5,0.48,1.65,0.3,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4A,18,0.52,0.81,0.85,0.85,0.85,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4B,19,0.52,0.81,0.85,0.85,0.7,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4C,20,0.52,0.81,0.85,0.85,0.65,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4D,21,0.52,0.81,0.85,0.85,0.6,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4E,22,0.52,0.81,0.85,0.85,0.55,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
4F,23,0.52,0.81,0.85,0.85,0.5,0.48,1.68,0.32,5840795,45,57,67,98,128,159,0.17886,0.47205,0.78571,0.277,0.00419,0.004,0.056,0.019,0.089,0.035,0.4
